2024-2025 montly finance dataset of a freelancer,,
Date,Category,Amount
3/1/2024,Healthcare,-284
3/2/2024,Rent,-925
3/5/2024,Healthcare,-355
3/5/2024,Transport,-26
3/5/2024,Transport,-38
3/7/2024,Healthcare,-384
3/9/2024,Rent,-997
3/14/2024,Utilities,-134
3/15/2024,Entertainment,-232
3/20/2024,Dining,-103
3/27/2024,Transport,-43
3/27/2024,Dining,-122
3/28/2024,Salary,2515
3/29/2024,Healthcare,-436
4/8/2024,Rent,-950
4/9/2024,Groceries,-264
4/21/2024,Transport,-66
4/26/2024,Utilities,-156
5/9/2024,Healthcare,-371
5/19/2024,Entertainment,-223
5/21/2024,Healthcare,-473
5/21/2024,Groceries,-229
5/23/2024,Transport,-71
6/6/2024,Transport,-92
6/7/2024,Utilities,-62
6/9/2024,Groceries,-271
6/14/2024,Transport,-68
6/23/2024,Healthcare,-324
6/26/2024,Rent,-961
6/30/2024,Salary,3841
7/4/2024,Entertainment,-115
7/5/2024,Healthcare,-158
7/12/2024,Rent,-1084
7/16/2024,Entertainment,-236
7/19/2024,Salary,2827
7/28/2024,Utilities,-52
7/29/2024,Groceries,-232
8/5/2024,Healthcare,-361
8/9/2024,Healthcare,-119
8/10/2024,Transport,-22
9/6/2024,Transport,-31
9/8/2024,Salary,2512
9/10/2024,Healthcare,-179
9/10/2024,Dining,-150
9/13/2024,Transport,-70
9/20/2024,Transport,-85
9/21/2024,Entertainment,-136
9/26/2024,Salary,2502
9/26/2024,Transport,-44
9/30/2024,Rent,-969
9/30/2024,Rent,-833
10/5/2024,Salary,3957
10/10/2024,Groceries,-183
10/18/2024,Salary,2958
10/19/2024,Dining,-133
10/21/2024,Healthcare,-167
10/27/2024,Utilities,-112
10/28/2024,Utilities,-195
10/30/2024,Groceries,-259
10/31/2024,Transport,-58
11/10/2024,Dining,-68
11/10/2024,Healthcare,-348
11/14/2024,Groceries,-211
11/16/2024,Rent,-1150
12/4/2024,Healthcare,-468
12/7/2024,Salary,2604
12/10/2024,Salary,2765
12/12/2024,Transport,-71
12/19/2024,Utilities,-64
12/21/2024,Utilities,-160
12/24/2024,Entertainment,-229
12/29/2024,Utilities,-175
12/29/2024,Groceries,-211
12/31/2024,Dining,-44
1/5/2025,Transport,-35
1/6/2025,Salary,3233
1/15/2025,Healthcare,-395
1/17/2025,Groceries,-151
1/21/2025,Transport,-75
1/24/2025,Utilities,-105
1/24/2025,Healthcare,-406
1/26/2025,Groceries,-276
1/30/2025,Entertainment,-164
2/9/2025,Dining,-52
2/11/2025,Rent,-1131
2/16/2025,Utilities,-59
2/17/2025,Groceries,-267
2/20/2025,Transport,-34
2/23/2025,Entertainment,-113
2/24/2025,Dining,-141
2/26/2025,Healthcare,-432
3/1/2025,Entertainment,-54
3/4/2025,Dining,-117
3/6/2025,Salary,3716
3/14/2025,Dining,-90
3/14/2025,Dining,-54
3/15/2025,Entertainment,-200
3/19/2025,Transport,-92
3/20/2025,Salary,3229
3/22/2025,Groceries,-265
